OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost
SO - 000225,1/1/2014,126,Wholesale,USD,AXW291,364,27,6,"2,499.10","14,994.60","1,824.34"
SO - 0003378,1/1/2014,96,Distributor,USD,AXW291,488,20,11,"2,351.70","25,868.70","1,269.92"
SO - 0005126,1/1/2014,8,Wholesale,USD,AXW291,155,26,6,978.20,"5,869.20",684.74
SO - 0005614,1/1/2014,42,Export,USD,AXW291,473,7,7,"2,338.30","16,368.10","1,028.85"
SO - 0005781,1/1/2014,73,Wholesale,USD,AXW291,256,8,8,"2,291.40","18,331.20","1,260.27"
SO - 0010394,1/1/2014,138,Export,USD,NXH382,626,23,11,"5,219.30","57,412.30","4,332.02"
SO - 0008865,1/1/2014,53,Wholesale,USD,GUT930,540,1,7,"2,874.30","20,120.10","1,667.09"
SO - 0009909,1/1/2014,45,Wholesale,USD,AXW291,156,25,10,"1,045.20","10,452.00",679.38
SO - 0001912,1/1/2014,85,Wholesale,USD,AXW291,934,13,5,"3,852.50","19,262.50","2,966.43"
SO - 0002683,1/1/2014,125,Export,USD,AXW291,652,14,12,"2,914.50","34,974.00","1,311.53"
SO - 0004272,1/1/2014,13,Wholesale,USD,FLR025,504,26,11,"2,257.90","24,836.90","1,196.69"
SO - 0004580,1/1/2014,130,Export,USD,NXH382,389,4,5,"1,232.80","6,164.00",628.73
SO - 0004646,1/1/2014,148,Wholesale,USD,GUT930,107,25,5,"3,859.20","19,296.00","2,855.81"
SO - 0007608,1/1/2014,4,Distributor,USD,NXH382,781,15,10,"1,983.20","19,832.00","1,606.39"
SO - 0007951,1/1/2014,123,Distributor,USD,NXH382,458,3,7,167.50,"1,172.50",135.68
SO - 0001068,1/1/2014,64,Export,USD,FLR025,750,10,11,924.60,"10,170.60",656.47
SO - 0002010,1/1/2014,109,Distributor,USD,NXH382,594,11,11,"1,045.20","11,497.20",543.50
SO - 0002504,1/1/2014,42,Export,USD,FLR025,829,27,11,"1,976.50","21,741.50",790.60
SO - 0009931,1/1/2014,83,Wholesale,USD,AXW291,19,13,6,"6,525.80","39,154.80","3,589.19"
SO - 0009346,1/1/2014,132,Wholesale,USD,NXH382,210,13,7,"1,011.70","7,081.90",839.71
SO - 0002468,1/1/2014,19,Wholesale,USD,GUT930,74,5,8,"1,983.20","15,865.60","1,348.58"
SO - 0003850,1/1/2014,116,Wholesale,USD,FLR025,105,13,6,"2,653.20","15,919.20","1,485.79"
SO - 0006279,1/1/2014,22,Distributor,USD,GUT930,331,4,7,"3,845.80","26,920.60","1,538.32"
